Time,H1_C1,H1_C2,H2_C1,H2_C2,H3_C1,H3_C2,H4_C1,H4_C2,S1_D,S1_P,S2_D,S2_P,S3_D,S3_P,S4_D,S4_P
0,818.182,2.273,807.576,2.273,815.152,1.515,815.152,0.758,inf,inf,inf,inf,inf,inf,inf,inf
6,731.061,73.485,739.394,64.394,728.03,65.152,753.03,53.788,2.926,2.438,2.354,2.14,2.362,2.147,2.096,1.747
12,671.212,132.576,690.909,119.697,680.303,116.667,711.364,102.273,2.893,2.411,2.381,2.164,2.286,2.078,2.139,1.783
18,628.788,180.303,654.546,167.424,650.758,160.606,675.758,142.424,2.861,2.384,2.417,2.197,2.264,2.058,2.122,1.768
24,586.364,219.697,600.758,200.0,596.97,196.212,626.515,176.515,2.842,2.368,2.314,2.103,2.225,2.023,2.101,1.751
30,542.424,251.515,572.727,240.909,574.242,230.303,596.212,210.606,2.815,2.346,2.456,2.233,2.256,2.051,2.153,1.794
36,531.818,282.576,545.454,267.424,537.121,260.606,566.667,237.879,2.884,2.404,2.446,2.224,2.303,2.093,2.162,1.801
42,509.848,303.03,520.455,291.667,531.818,287.121,561.364,254.546,2.842,2.368,2.473,2.248,2.358,2.143,2.071,1.726
48,487.879,321.97,497.727,307.576,505.303,304.546,530.303,275.0,2.847,2.373,2.421,2.201,2.327,2.115,2.078,1.731
54,469.697,336.364,490.909,325.758,483.333,325.0,518.182,293.182,2.824,2.353,2.464,2.24,2.4,2.181,2.089,1.741
60,463.636,346.212,480.303,342.424,471.97,339.394,498.485,314.394,2.754,2.295,2.539,2.308,2.417,2.198,2.183,1.819
66,453.03,362.879,459.848,349.242,460.606,346.97,492.424,321.212,2.91,2.425,2.451,2.228,2.341,2.128,2.086,1.739
