Time,Hcell,Sample,Abs_raw,Abs
0,H1_C1,PES_P25G00_AO_S5,1.146,1.113
4,H1_C1,PES_P25G00_AO_S5,1.092,1.06
21.3,H1_C1,PES_P25G00_AO_S5,0.929,0.898
24,H1_C1,PES_P25G00_AO_S5,0.918,0.888
27.5,H1_C1,PES_P25G00_AO_S5,0.858,0.823
45.6,H1_C1,PES_P25G00_AO_S5,0.782,0.748
48,H1_C1,PES_P25G00_AO_S5,0.765,0.734
69.6,H1_C1,PES_P25G00_AO_S5,0.712,0.677
0,H1_C2,PES_P25G00_AO_S5,0.033,0
4,H1_C2,PES_P25G00_AO_S5,0.087,0.054
21.3,H1_C2,PES_P25G00_AO_S5,0.264,0.233
24,H1_C2,PES_P25G00_AO_S5,0.284,0.254
27.5,H1_C2,PES_P25G00_AO_S5,0.311,0.276
45.6,H1_C2,PES_P25G00_AO_S5,0.418,0.384
48,H1_C2,PES_P25G00_AO_S5,0.427,0.396
69.6,H1_C2,PES_P25G00_AO_S5,0.501,0.466
0,H2_C1,PES_P25G00_AO_S6,1.154,1.12
4,H2_C1,PES_P25G00_AO_S6,1.107,1.074
21.3,H2_C1,PES_P25G00_AO_S6,0.929,0.898
24,H2_C1,PES_P25G00_AO_S6,0.924,0.894
27.5,H2_C1,PES_P25G00_AO_S6,0.873,0.838
45.6,H2_C1,PES_P25G00_AO_S6,0.815,0.781
48,H2_C1,PES_P25G00_AO_S6,0.769,0.738
69.6,H2_C1,PES_P25G00_AO_S6,0.719,0.683
0,H2_C2,PES_P25G00_AO_S6,0.033,0
4,H2_C2,PES_P25G00_AO_S6,0.095,0.062
21.3,H2_C2,PES_P25G00_AO_S6,0.253,0.222
24,H2_C2,PES_P25G00_AO_S6,0.272,0.242
27.5,H2_C2,PES_P25G00_AO_S6,0.291,0.256
45.6,H2_C2,PES_P25G00_AO_S6,0.412,0.378
48,H2_C2,PES_P25G00_AO_S6,0.411,0.379
69.6,H2_C2,PES_P25G00_AO_S6,0.489,0.454
0,H3_C1,PES_P25G00_AO_S7,1.135,1.101
4,H3_C1,PES_P25G00_AO_S7,1.013,0.98
21.3,H3_C1,PES_P25G00_AO_S7,0.861,0.83
24,H3_C1,PES_P25G00_AO_S7,0.858,0.828
27.5,H3_C1,PES_P25G00_AO_S7,0.807,0.772
45.6,H3_C1,PES_P25G00_AO_S7,0.713,0.679
48,H3_C1,PES_P25G00_AO_S7,0.72,0.689
69.6,H3_C1,PES_P25G00_AO_S7,0.671,0.636
0,H3_C2,PES_P25G00_AO_S7,0.034,3.00E-04
4,H3_C2,PES_P25G00_AO_S7,0.098,0.065
21.3,H3_C2,PES_P25G00_AO_S7,0.312,0.281
24,H3_C2,PES_P25G00_AO_S7,0.334,0.304
27.5,H3_C2,PES_P25G00_AO_S7,0.365,0.331
45.6,H3_C2,PES_P25G00_AO_S7,0.478,0.443
48,H3_C2,PES_P25G00_AO_S7,0.485,0.453
69.6,H3_C2,PES_P25G00_AO_S7,0.554,0.518
0,H4_C1,PES_P25G00_AO_S8,1.158,1.125
4,H4_C1,PES_P25G00_AO_S8,1.087,1.054
21.3,H4_C1,PES_P25G00_AO_S8,0.909,0.878
24,H4_C1,PES_P25G00_AO_S8,0.897,0.867
27.5,H4_C1,PES_P25G00_AO_S8,0.847,0.812
45.6,H4_C1,PES_P25G00_AO_S8,0.746,0.712
48,H4_C1,PES_P25G00_AO_S8,0.747,0.716
69.6,H4_C1,PES_P25G00_AO_S8,0.701,0.665
0,H4_C2,PES_P25G00_AO_S8,0.032,-9.00E-04
4,H4_C2,PES_P25G00_AO_S8,0.088,0.056
21.3,H4_C2,PES_P25G00_AO_S8,0.279,0.248
24,H4_C2,PES_P25G00_AO_S8,0.299,0.269
27.5,H4_C2,PES_P25G00_AO_S8,0.327,0.292
45.6,H4_C2,PES_P25G00_AO_S8,0.438,0.404
48,H4_C2,PES_P25G00_AO_S8,0.461,0.429
69.6,H4_C2,PES_P25G00_AO_S8,0.534,0.499
