Time,Hcell,Sample,Abs_raw,Abs,C_sample,C_original
0,H1_C1,PES_P25G00_AO_S1,1.111,1.08,81.8182,818.1818
6,H1_C1,PES_P25G00_AO_S1,0.998,0.965,73.1061,731.0606
12,H1_C1,PES_P25G00_AO_S1,0.918,0.886,67.1212,671.2121
18,H1_C1,PES_P25G00_AO_S1,0.863,0.83,62.8788,628.7879
24,H1_C1,PES_P25G00_AO_S1,0.806,0.774,58.6364,586.3636
30,H1_C1,PES_P25G00_AO_S1,0.748,0.716,54.2424,542.4242
36,H1_C1,PES_P25G00_AO_S1,0.734,0.702,53.1818,531.8182
42,H1_C1,PES_P25G00_AO_S1,0.705,0.673,50.9848,509.8485
48,H1_C1,PES_P25G00_AO_S1,0.677,0.644,48.7879,487.8788
54,H1_C1,PES_P25G00_AO_S1,0.652,0.62,46.9697,469.697
60,H1_C1,PES_P25G00_AO_S1,0.645,0.612,46.3636,463.6364
66,H1_C1,PES_P25G00_AO_S1,0.631,0.598,45.303,453.0303
0,H1_C2,PES_P25G00_AO_S1,0.034,0.003,0.2273,2.2727
6,H1_C2,PES_P25G00_AO_S1,0.129,0.097,7.3485,73.4848
12,H1_C2,PES_P25G00_AO_S1,0.208,0.175,13.2576,132.5758
18,H1_C2,PES_P25G00_AO_S1,0.27,0.238,18.0303,180.303
24,H1_C2,PES_P25G00_AO_S1,0.323,0.29,21.9697,219.697
30,H1_C2,PES_P25G00_AO_S1,0.364,0.332,25.1515,251.5152
36,H1_C2,PES_P25G00_AO_S1,0.405,0.373,28.2576,282.5758
42,H1_C2,PES_P25G00_AO_S1,0.432,0.4,30.303,303.0303
48,H1_C2,PES_P25G00_AO_S1,0.458,0.425,32.197,321.9697
54,H1_C2,PES_P25G00_AO_S1,0.477,0.444,33.6364,336.3636
60,H1_C2,PES_P25G00_AO_S1,0.489,0.457,34.6212,346.2121
66,H1_C2,PES_P25G00_AO_S1,0.512,0.479,36.2879,362.8788
0,H2_C1,PES_P25G00_AO_S2,1.097,1.066,80.7576,807.5758
6,H2_C1,PES_P25G00_AO_S2,1.009,0.976,73.9394,739.3939
12,H2_C1,PES_P25G00_AO_S2,0.944,0.912,69.0909,690.9091
18,H2_C1,PES_P25G00_AO_S2,0.896,0.864,65.4545,654.5455
24,H2_C1,PES_P25G00_AO_S2,0.825,0.793,60.0758,600.7576
30,H2_C1,PES_P25G00_AO_S2,0.788,0.756,57.2727,572.7273
